City,Species,Time_Frame,TOTAL_PIXELS,VALID_PIXELS,PCT_VALID
Ingolstadt,Rotbuche,2011-2040,236,236,100.0
Ingolstadt,Rotbuche,2041-2070,236,236,100.0
Ingolstadt,Rotbuche,2071-2100,236,24,10.16949152542373
Ingolstadt,Spitzahorn,2011-2040,236,236,100.0
Ingolstadt,Spitzahorn,2041-2070,236,236,100.0
Ingolstadt,Spitzahorn,2071-2100,236,0,0.0
Ingolstadt,Bergahorn,2011-2040,236,236,100.0
Ingolstadt,Bergahorn,2041-2070,236,236,100.0
Ingolstadt,Bergahorn,2071-2100,236,236,100.0
Ingolstadt,Stieleiche,2011-2040,236,236,100.0
Ingolstadt,Stieleiche,2041-2070,236,236,100.0
Ingolstadt,Stieleiche,2071-2100,236,236,100.0
Ingolstadt,Winterlinde,2011-2040,236,236,100.0
Ingolstadt,Winterlinde,2041-2070,236,236,100.0
Ingolstadt,Winterlinde,2071-2100,236,236,100.0
Ingolstadt,Haengebirke/Sandbirke,2011-2040,236,236,100.0
Ingolstadt,Haengebirke/Sandbirke,2041-2070,236,236,100.0
Ingolstadt,Haengebirke/Sandbirke,2071-2100,236,24,10.16949152542373
Ingolstadt,Schwarzpappel,2011-2040,236,236,100.0
Ingolstadt,Schwarzpappel,2041-2070,236,236,100.0
Ingolstadt,Schwarzpappel,2071-2100,236,236,100.0
Ingolstadt,Hainbuche,2011-2040,236,236,100.0
Ingolstadt,Hainbuche,2041-2070,236,236,100.0
Ingolstadt,Hainbuche,2071-2100,236,236,100.0
Ingolstadt,Gemeine Esche,2011-2040,236,236,100.0
Ingolstadt,Gemeine Esche,2041-2070,236,236,100.0
Ingolstadt,Gemeine Esche,2071-2100,236,236,100.0
Ingolstadt,Londoner Platane,2011-2040,236,236,100.0
Ingolstadt,Londoner Platane,2041-2070,236,236,100.0
Ingolstadt,Londoner Platane,2071-2100,236,236,100.0
Ingolstadt,Gemeine Robinie,2011-2040,236,236,100.0
Ingolstadt,Gemeine Robinie,2041-2070,236,236,100.0
Ingolstadt,Gemeine Robinie,2071-2100,236,236,100.0
Ingolstadt,Gewöhnliche Rosskastanie,2011-2040,236,236,100.0
Ingolstadt,Gewöhnliche Rosskastanie,2041-2070,236,236,100.0
Ingolstadt,Gewöhnliche Rosskastanie,2071-2100,236,236,100.0
München,Rotbuche,2011-2040,538,538,100.0
München,Rotbuche,2041-2070,538,538,100.0
München,Rotbuche,2071-2100,538,538,100.0
München,Spitzahorn,2011-2040,538,538,100.0
München,Spitzahorn,2041-2070,538,538,100.0
München,Spitzahorn,2071-2100,538,0,0.0
München,Bergahorn,2011-2040,538,538,100.0
München,Bergahorn,2041-2070,538,538,100.0
München,Bergahorn,2071-2100,538,538,100.0
München,Stieleiche,2011-2040,538,538,100.0
München,Stieleiche,2041-2070,538,538,100.0
München,Stieleiche,2071-2100,538,538,100.0
München,Winterlinde,2011-2040,538,538,100.0
München,Winterlinde,2041-2070,538,538,100.0
München,Winterlinde,2071-2100,538,538,100.0
München,Haengebirke/Sandbirke,2011-2040,538,538,100.0
München,Haengebirke/Sandbirke,2041-2070,538,538,100.0
München,Haengebirke/Sandbirke,2071-2100,538,538,100.0
München,Schwarzpappel,2011-2040,538,538,100.0
München,Schwarzpappel,2041-2070,538,538,100.0
München,Schwarzpappel,2071-2100,538,538,100.0
München,Hainbuche,2011-2040,538,538,100.0
München,Hainbuche,2041-2070,538,538,100.0
München,Hainbuche,2071-2100,538,538,100.0
München,Gemeine Esche,2011-2040,538,538,100.0
München,Gemeine Esche,2041-2070,538,538,100.0
München,Gemeine Esche,2071-2100,538,538,100.0
München,Londoner Platane,2011-2040,538,538,100.0
München,Londoner Platane,2041-2070,538,538,100.0
München,Londoner Platane,2071-2100,538,538,100.0
München,Gemeine Robinie,2011-2040,538,538,100.0
München,Gemeine Robinie,2041-2070,538,538,100.0
